run_id	datetime	branch	stage_label	sig_ods_bytes	lib_ods_bytes	doc_ods_bytes	ndr_result	notes
20880935195	2026-01-10T16:10:59	ubl-2.5-2025-layout	csd02	16389	640634	931756	XSLT_ERROR	BUILD_OK;4_missing_files;specnote2pdfhtml;775_artefact_files;6192_intermediate
20881508830	2026-01-10T17:01:22	ubl-2.5-2025-layout	csd02	16389	640634	931756	XSLT_ERROR	BUILD_OK;4_missing_files;specnote2pdfhtml;775_artefact_files;6192_intermediate
21044732508	2026-01-15T20:06:42	ubl-2.5-2025-layout	csd02	16388	640701	931858	XSLT_ERROR	BUILD_OK;4_missing_files;specnote2pdfhtml;775_artefact_files;6192_intermediate
21217733511	2026-01-21T16:38:53	ubl-2.5	csd02	16388	640651	931743	FAIL(5)+XSLT_ERROR	BUILD_OK;HUB-SKIPPED;242_artefact_files;4537_intermediate
21218439446	2026-01-21T17:01:19	kentest	csd02	16388	640701	931743	FAIL(5)+XSLT_ERROR	BUILD_OK;HUB-SKIPPED;242_artefact_files;4635_intermediate
21218686222	2026-01-21T17:09:28	kentest	csd02	16388	640701	931743	FAIL(5)+XSLT_ERROR	BUILD_OK;HUB-SKIPPED;242_artefact_files;4635_intermediate
21221543384	2026-01-21T18:42:56	kentest	csd02	16388	640701	931743	FAIL(5)+XSLT_ERROR	BUILD_OK;HUB-SKIPPED;242_artefact_files;4635_intermediate
21222373700	2026-01-21T19:10:26	server-test	csd02	16388	640701	931743	FAIL(5)+XSLT_ERROR	BUILD_OK;HUB-SKIPPED;242_artefact_files;4537_intermediate
21222855543	2026-01-21T19:26:20	ubl-2.5	csd02	16388	640701	931858	FAIL(6)	BUILD_OK;spec2pdfhtml;775_artefact_files;6100_intermediate
21224641487	2026-01-21T20:28:47	kentest	csd02	16388	640701	931858	XSLT_ERROR	BUILD_OK;4_missing_files;specnote2pdfhtml;775_artefact_files;6192_intermediate
21225083874	2026-01-21T20:44:40	kentest	csd02	16388	640701	931858	XSLT_ERROR	BUILD_OK;4_missing_files;specnote2pdfhtml;775_artefact_files;6192_intermediate
21226225406	2026-01-21T21:23:59	ubl-2.5-retry	csd02	16388	640701	931858	XSLT_ERROR	BUILD_OK;4_missing_files;spec2pdfhtml;775_artefact_files;6094_intermediate
21446440445	2026-01-28T16:25:49	ubl-2.5	csd02	16389	640701	931871	FAIL(6)	BUILD_OK;specnote2pdfhtml;775_artefact_files;6198_intermediate
21829483093	2026-02-09T14:42:10	ubl-2.5	csd03	16389	640703	931924	XSLT_ERROR	BUILD_OK;HUB-SKIPPED;669_artefact_files;5885_intermediate
21829547692	2026-02-09T14:43:57	ubl-2.5	csd03	16389	640703	931924	XSLT_ERROR	BUILD_OK;HUB-SKIPPED;669_artefact_files;5885_intermediate
21829586800	2026-02-09T14:45:03	ubl-2.5	csd03	16389	640703	931924	XSLT_ERROR	BUILD_OK;HUB-SKIPPED;669_artefact_files;5885_intermediate
21829607494	2026-02-09T14:45:36	ubl-2.5	csd03	16389	640703	931924	XSLT_ERROR	BUILD_OK;HUB-SKIPPED;669_artefact_files;5885_intermediate
21829622091	2026-02-09T14:46:00	ubl-2.5	csd03	16389	640703	931924	XSLT_ERROR	BUILD_OK;HUB-SKIPPED;669_artefact_files;5885_intermediate
21829639791	2026-02-09T14:46:30	ubl-2.5	csd03	16389	640703	931924	XSLT_ERROR	BUILD_OK;HUB-SKIPPED;669_artefact_files;5885_intermediate
21830603834	2026-02-09T15:13:06	ubl-2.5	csd03	16389	640703	931924	FAIL(5)	BUILD_OK;specnote2pdfhtml;775_artefact_files;6204_intermediate
