artifact_id	file	sha256	size_bytes
4591159085	UBL-Endorsed-Entities-2.4-os.gc	68a1bc6c9243aa787c8902dcb9f7ee6ed430aea8af1da869fd9aea7da335a3c1	8365067
4591159085	UBL-Endorsed-Entities-2.5.gc	68a1bc6c9243aa787c8902dcb9f7ee6ed430aea8af1da869fd9aea7da335a3c1	8365067
4591159085	UBL-Entities-2.4-os.gc	fa441eceec11cb5ba2bb38ac76a589eccad878e691bde998f7ce017ceee90913	8234496
4591159085	UBL-Entities-2.5.gc	b62566116b2c302a37bdea8bc5b641b362cafbf8577fc656045248f1fcefca2b	8824734
4591159085	UBL-Signature-Entities-2.4-os.gc	ff52a2679b16583fd3c08be9c196ae87999c91b06c8231555a65f7bef7753957	13862
4591159085	UBL-Signature-Entities-2.5.gc	1104e26913cbddb9c1c4eb1eb742e3fc04e37af7b506e9c01dad48b3191874c6	13871
4591159085	ods-sources/UBL-Documents-Google.ods	3214418de22cf3d8785ad263231b55be28dbfc22f725c38c4b1db50871eef7a4	911943
4591159085	ods-sources/UBL-Endorsed-Entities-2.5.ods	fea33d2f86fe9c4c554160c30f6f4c52d6adbefc82ad691f8dfc96caf1dcd763	1670476
4591159085	ods-sources/UBL-Entities-2.5.ods	b64fbfb61fc93f0dfc87d812da73eab26058c8ea95a6b5e9f25c7128988e39ff	1788925
4591159085	ods-sources/UBL-Library-Google.ods	b1cd8fe51ef6a896bc9f88b6daa68a74e71ea6fde15ee36100adf938a9d9d015	639453
4591159085	ods-sources/UBL-Signature-Entities-2.5.ods	308da4f165af3784bcb6754691c3598f829be821857ab04a03d8598e44244c79	17826
4591159085	ods-sources/UBL-Signature-Google.ods	f23fb892e560fc3d31f11715261589a3a466ef49f9650c1be060e0f708dccf64	16388
4591159085	ods-sources/skeletonDisplayEditSubset.ods	5fa076e7b161a6728623971c9d8d237162310d9658c06e57dd291c8942c4f86d	20886
